mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
409284,"Fayette silt loam, till plain, 14 to 18 percent slopes, eroded",Fayette,90,Well drained,20,28,0.75,6.2,0.17,25.0,3.0,72.0,1.45,20.1,FIELD_0017
409283,"Fayette silt loam, till plain, 9 to 14 percent slopes, eroded",Fayette,90,Well drained,20,28,0.75,6.2,0.17,25.0,3.0,72.0,1.45,20.1,FIELD_0017
409277,"Colo silty clay loam, 0 to 2 percent slopes, occasionally flooded",Colo,90,Poorly drained,20,36,3.5,6.5,0.17,30.0,6.0,64.0,1.31,25.1,FIELD_0017
409385,"Judson silty clay loam, 2 to 5 percent slopes",Judson,90,Well drained,23,56,3.5,6.5,0.13,30.0,4.0,66.0,1.32,25.1,FIELD_0017
409374,"Ladoga silt loam, 9 to 14 percent slopes, eroded",Ladoga,90,Moderately well drained,25,48,0.75,5.7,0.18,33.0,2.0,65.0,1.42,25.3,FIELD_0017
409284,"Fayette silt loam, till plain, 14 to 18 percent slopes, eroded",Fayette,90,Well drained,28,58,0.5,5.5,0.18,31.0,3.0,66.0,1.45,24.0,FIELD_0017
409283,"Fayette silt loam, till plain, 9 to 14 percent slopes, eroded",Fayette,90,Well drained,28,58,0.5,5.5,0.18,31.0,3.0,66.0,1.45,24.0,FIELD_0017
409278,"Colo silt loam, 0 to 2 percent slopes, occasionally flooded, overwash",Colo,90,Poorly drained,28,56,5.0,6.5,0.16,30.0,6.0,64.0,1.29,25.5,FIELD_0017
409378,"Clinton silt loam, 5 to 9 percent slopes, eroded",Clinton,90,Moderately well drained,28,41,0.75,5.4,0.18,33.0,2.0,65.0,1.4,,FIELD_0017
409339,"Vesser silt loam, 0 to 2 percent slopes",Vesser,85,Poorly drained,0,33,3.5,6.5,0.22,23.0,9.5,67.5,1.33,27.5,FIELD_0017
409337,"Ossian silt loam, 0 to 2 percent slopes",Ossian,85,Poorly drained,0,18,6.0,7.0,0.23,24.5,9.2,66.3,1.28,33.0,FIELD_0017
409324,"Amana silty clay loam, 0 to 2 percent slopes",Amana,85,Somewhat poorly drained,0,41,4.0,6.5,0.23,28.5,7.1,64.4,1.25,27.5,FIELD_0017
409291,"Nodaway silt loam, 0 to 2 percent slopes",Nodaway,85,Moderately well drained,0,18,3.0,6.7,0.22,22.5,7.5,70.0,1.3,22.5,FIELD_0017
409288,"Landes fine sandy loam, 0 to 2 percent slopes",Landes,85,Moderately well drained,0,36,2.0,6.7,0.16,12.5,67.3,20.2,1.5,12.5,FIELD_0017
