mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
451039,"Terril loam, 2 to 5 percent slopes",Terril,95,Moderately well drained,20,58,3.0,6.3,0.21,24.0,30.0,46.0,1.35,20.4,FIELD_0016
1429111,"Kasson loam, 5 to 9 percent slopes",Kasson,95,Moderately well drained,20,28,0.65,6.2,0.15,23.0,29.0,48.0,1.42,18.5,FIELD_0016
437401,"Dickinson fine sandy loam, 2 to 5 percent slopes",Dickinson,95,Well drained,23,46,1.5,6.2,0.15,10.0,65.0,25.0,1.5,9.0,FIELD_0016
1429111,"Kasson loam, 5 to 9 percent slopes",Kasson,95,Moderately well drained,28,51,0.4,5.9,0.15,24.0,36.0,40.0,1.5,18.9,FIELD_0016
1008428,"Klossner muck, 1 to 4 percent slopes",Klossner,90,Very poorly drained,0,25,75.0,,0.38,,,,0.26,161.6,FIELD_0016
437366,"Marlean loam, 2 to 5 percent slopes",Marlean,90,Well drained,0,18,3.5,6.7,0.21,21.0,41.6,37.4,1.43,18.2,FIELD_0016
1429112,"Kasson loam, 5 to 9 percent slopes, eroded",Kasson,90,Moderately well drained,0,18,1.9,6.2,0.14,22.0,41.0,37.0,1.42,18.5,FIELD_0016
1429110,"Kasson loam, 2 to 5 percent slopes",Kasson,90,Moderately well drained,0,20,2.5,6.2,0.14,22.0,41.0,37.0,1.42,18.7,FIELD_0016
1429112,"Kasson loam, 5 to 9 percent slopes, eroded",Kasson,90,Moderately well drained,18,28,0.65,6.2,0.15,23.0,29.0,48.0,1.42,18.5,FIELD_0016
437366,"Marlean loam, 2 to 5 percent slopes",Marlean,90,Well drained,18,23,2.5,6.7,0.21,21.0,41.6,37.4,1.43,18.2,FIELD_0016
1429110,"Kasson loam, 2 to 5 percent slopes",Kasson,90,Moderately well drained,20,28,0.65,6.2,0.15,23.0,29.0,48.0,1.42,18.5,FIELD_0016
437366,"Marlean loam, 2 to 5 percent slopes",Marlean,90,Well drained,23,30,0.5,6.7,0.2,24.0,39.1,36.9,1.48,19.0,FIELD_0016
1008428,"Klossner muck, 1 to 4 percent slopes",Klossner,90,Very poorly drained,25,66,80.0,,0.42,,,,0.23,174.2,FIELD_0016
1429112,"Kasson loam, 5 to 9 percent slopes, eroded",Kasson,90,Moderately well drained,28,51,0.4,5.9,0.15,24.0,36.0,40.0,1.5,18.9,FIELD_0016
1429110,"Kasson loam, 2 to 5 percent slopes",Kasson,90,Moderately well drained,28,51,0.4,5.9,0.15,24.0,36.0,40.0,1.5,18.9,FIELD_0016
437375,"Racine loam, 2 to 5 percent slopes",Racine,85,Well drained,0,20,2.5,6.8,0.15,17.0,36.0,47.0,1.43,14.9,FIELD_0016
451004,"Orwood silt loam, 9 to 14 percent slopes, moderately eroded",Orwood,85,Well drained,0,20,2.5,6.5,0.21,17.0,29.3,53.7,1.38,14.9,FIELD_0016
451005,"Orwood silt loam, 14 to 18 percent slopes, moderately eroded",Orwood,85,Well drained,0,20,2.5,6.5,0.21,17.0,29.3,53.7,1.38,14.9,FIELD_0016
1399086,"Coland clay loam, 0 to 2 percent slopes, occasionally flooded",Coland,85,Poorly drained,0,20,6.0,6.3,0.11,30.0,28.0,42.0,1.31,25.6,FIELD_0016
451061,"Winneshiek loam, 2 to 5 percent slopes",Winneshiek,85,Well drained,0,20,3.0,6.5,0.2,21.0,41.6,37.4,1.48,18.1,FIELD_0016
622331,"Rockton loam, 2 to 5 percent slopes",Rockton,85,Well drained,0,20,3.5,6.2,0.21,22.5,39.8,37.7,1.35,19.4,FIELD_0016
622384,"Rockton loam, 5 to 9 percent slopes",Rockton,85,Well drained,0,20,3.5,6.2,0.21,22.5,39.8,37.7,1.35,19.4,FIELD_0016
437375,"Racine loam, 2 to 5 percent slopes",Racine,85,Well drained,20,30,0.9,6.4,0.15,19.0,36.0,45.0,1.42,15.8,FIELD_0016
1399086,"Coland clay loam, 0 to 2 percent slopes, occasionally flooded",Coland,85,Poorly drained,20,81,4.5,6.3,0.12,30.0,28.0,42.0,1.25,25.4,FIELD_0016
451004,"Orwood silt loam, 9 to 14 percent slopes, moderately eroded",Orwood,85,Well drained,20,56,1.5,6.5,0.21,21.0,26.3,52.7,1.38,17.6,FIELD_0016
451005,"Orwood silt loam, 14 to 18 percent slopes, moderately eroded",Orwood,85,Well drained,20,56,1.5,6.5,0.21,21.0,26.3,52.7,1.38,17.6,FIELD_0016
451061,"Winneshiek loam, 2 to 5 percent slopes",Winneshiek,85,Well drained,20,28,1.0,6.5,0.18,24.0,39.1,36.9,1.6,19.6,FIELD_0016
622331,"Rockton loam, 2 to 5 percent slopes",Rockton,85,Well drained,20,38,3.5,6.2,0.21,22.5,39.8,37.7,1.35,19.4,FIELD_0016
622384,"Rockton loam, 5 to 9 percent slopes",Rockton,85,Well drained,20,38,3.5,6.2,0.21,22.5,39.8,37.7,1.35,19.4,FIELD_0016
451061,"Winneshiek loam, 2 to 5 percent slopes",Winneshiek,85,Well drained,28,41,1.0,6.5,0.18,24.0,39.1,36.9,1.6,19.6,FIELD_0016
450540,"Jacwin loam, 0 to 2 percent slopes",Jacwin,80,Somewhat poorly drained,0,20,5.5,6.7,0.21,26.5,28.2,45.3,1.4,22.9,FIELD_0016
450993,"Marlean loam, 14 to 18 percent slopes, moderately eroded",Marlean,80,Well drained,0,20,3.0,6.7,0.21,21.0,41.6,37.4,1.43,18.1,FIELD_0016
451019,"Renova loam, 9 to 14 percent slopes, moderately eroded",Renova,80,Well drained,0,20,2.0,6.1,0.23,23.5,39.2,37.3,1.35,19.7,FIELD_0016
451064,"Winneshiek loam, 9 to 14 percent slopes",Winneshiek,80,Well drained,0,20,3.0,6.5,0.2,21.0,41.6,37.4,1.48,18.1,FIELD_0016
450540,"Jacwin loam, 0 to 2 percent slopes",Jacwin,80,Somewhat poorly drained,20,33,5.5,6.7,0.21,26.0,28.7,45.3,1.4,22.5,FIELD_0016
450993,"Marlean loam, 14 to 18 percent slopes, moderately eroded",Marlean,80,Well drained,20,30,0.5,6.7,0.2,24.0,39.1,36.9,1.48,19.0,FIELD_0016
451019,"Renova loam, 9 to 14 percent slopes, moderately eroded",Renova,80,Well drained,20,48,0.25,5.3,0.21,28.0,17.8,54.2,1.4,,FIELD_0016
451064,"Winneshiek loam, 9 to 14 percent slopes",Winneshiek,80,Well drained,20,41,1.0,6.5,0.18,24.0,39.1,36.9,1.6,19.6,FIELD_0016
756308,"Marshan loam, 0 to 2 percent slopes, rarely flooded",Marshan,75,Poorly drained,0,20,5.5,6.5,0.21,30.0,21.0,49.0,1.35,25.6,FIELD_0016
622385,"Rockton loam, 9 to 14 percent slopes",Rockton,75,Well drained,0,20,3.5,6.2,0.21,22.5,39.8,37.7,1.35,19.4,FIELD_0016
451062,"Winneshiek loam, 5 to 9 percent slopes",Winneshiek,75,Well drained,0,20,3.0,6.5,0.2,21.0,41.6,37.4,1.48,18.1,FIELD_0016
437364,"Backbone sandy loam, 5 to 9 percent slopes",Backbone,75,Well drained,0,20,1.5,6.8,0.14,8.0,70.0,22.0,1.62,7.4,FIELD_0016
437367,"Marlean loam, 5 to 9 percent slopes",Marlean,75,Well drained,0,20,3.5,6.7,0.21,21.0,41.6,37.4,1.43,18.2,FIELD_0016
450991,"Marlean loam, 9 to 14 percent slopes, moderately eroded",Marlean,75,Well drained,0,20,3.0,6.7,0.21,21.0,41.6,37.4,1.43,18.1,FIELD_0016
437368,"Marlean loam, 5 to 9 percent slopes, moderately eroded",Marlean,75,Well drained,0,20,3.0,6.7,0.21,21.0,41.6,37.4,1.43,18.1,FIELD_0016
450541,"Jacwin loam, 2 to 5 percent slopes",Jacwin,75,Somewhat poorly drained,0,20,5.5,6.7,0.21,26.5,28.2,45.3,1.4,22.9,FIELD_0016
437397,"Clyde silt loam, 0 to 3 percent slopes",Clyde,75,Poorly drained,0,43,7.5,6.7,0.15,25.0,18.0,57.0,1.21,21.9,FIELD_0016
756308,"Marshan loam, 0 to 2 percent slopes, rarely flooded",Marshan,75,Poorly drained,20,36,3.5,6.5,0.21,30.0,18.0,52.0,1.35,25.1,FIELD_0016
622385,"Rockton loam, 9 to 14 percent slopes",Rockton,75,Well drained,20,38,3.5,6.2,0.21,22.5,39.8,37.7,1.35,19.4,FIELD_0016
451062,"Winneshiek loam, 5 to 9 percent slopes",Winneshiek,75,Well drained,20,41,1.0,6.5,0.18,24.0,39.1,36.9,1.6,19.6,FIELD_0016
450991,"Marlean loam, 9 to 14 percent slopes, moderately eroded",Marlean,75,Well drained,20,30,0.5,6.7,0.2,24.0,39.1,36.9,1.48,19.0,FIELD_0016
450541,"Jacwin loam, 2 to 5 percent slopes",Jacwin,75,Somewhat poorly drained,20,33,5.5,6.7,0.21,26.0,28.7,45.3,1.4,22.5,FIELD_0016
437368,"Marlean loam, 5 to 9 percent slopes, moderately eroded",Marlean,75,Well drained,20,30,0.5,6.7,0.2,24.0,39.1,36.9,1.48,19.0,FIELD_0016
437367,"Marlean loam, 5 to 9 percent slopes",Marlean,75,Well drained,20,30,0.5,6.7,0.2,24.0,39.1,36.9,1.48,19.0,FIELD_0016
437364,"Backbone sandy loam, 5 to 9 percent slopes",Backbone,75,Well drained,20,43,0.75,6.7,0.12,10.0,64.0,26.0,1.54,8.8,FIELD_0016
1008304,"Lilah-Dickinson complex, 2 to 5 percent slopes",Lilah,70,Excessively drained,0,20,1.5,5.6,0.12,9.0,67.0,24.0,1.53,7.1,FIELD_0016
1008304,"Lilah-Dickinson complex, 2 to 5 percent slopes",Lilah,70,Excessively drained,20,38,0.25,5.3,0.11,12.0,68.0,20.0,1.6,,FIELD_0016
1008306,"Lilah-Dickinson complex, 5 to 9 percent slopes",Lilah,60,Excessively drained,0,20,1.5,5.6,0.12,9.0,67.0,24.0,1.53,7.1,FIELD_0016
1008306,"Lilah-Dickinson complex, 5 to 9 percent slopes",Lilah,60,Excessively drained,20,38,0.25,5.3,0.11,12.0,68.0,20.0,1.6,,FIELD_0016
1382543,"Lawson-Ossian complex, 0 to 4 percent slopes",Lawson,55,Somewhat poorly drained,0,20,5.0,7.0,0.23,18.5,11.7,69.8,1.38,16.5,FIELD_0016
437167,"Atkinson loam, 2 to 5 percent slopes",Atkinson,55,Well drained,0,18,3.5,6.1,0.21,21.0,42.0,37.0,1.43,18.2,FIELD_0016
437167,"Atkinson loam, 2 to 5 percent slopes",Atkinson,55,Well drained,18,33,3.0,6.1,0.21,21.0,42.0,37.0,1.43,18.1,FIELD_0016
1382543,"Lawson-Ossian complex, 0 to 4 percent slopes",Lawson,55,Somewhat poorly drained,20,76,5.0,7.0,0.23,18.5,11.7,69.8,1.38,16.5,FIELD_0016
766669,"Calamine-Jacwin complex, 0 to 3 percent slopes",Calamine,50,Poorly drained,0,20,5.5,7.0,0.21,29.0,18.0,53.0,1.28,33.0,FIELD_0016
766669,"Calamine-Jacwin complex, 0 to 3 percent slopes",Calamine,50,Poorly drained,20,51,5.5,7.0,0.21,29.0,18.0,53.0,1.28,33.0,FIELD_0016
1382543,"Lawson-Ossian complex, 0 to 4 percent slopes",Ossian,40,Poorly drained,0,20,6.0,7.0,0.23,24.5,9.2,66.3,1.28,21.4,FIELD_0016
1382543,"Lawson-Ossian complex, 0 to 4 percent slopes",Ossian,40,Poorly drained,20,38,6.0,7.0,0.23,24.5,9.2,66.3,1.28,21.4,FIELD_0016
766669,"Calamine-Jacwin complex, 0 to 3 percent slopes",Jacwin,35,Somewhat poorly drained,0,20,5.5,6.7,0.21,26.5,28.2,45.3,1.4,22.9,FIELD_0016
766669,"Calamine-Jacwin complex, 0 to 3 percent slopes",Jacwin,35,Somewhat poorly drained,20,33,5.5,6.7,0.21,26.0,28.7,45.3,1.4,22.5,FIELD_0016
